Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
158.5,145.0987292,146.7338197,149.2449147,153.4233611,158.0411233,162.633793,166.7466859,169.1990151,170.7880784
159.5,145.4981426,147.1212613,149.6150259,153.7674066,158.3602756,162.9321282,167.0296087,169.474163,171.0587419
160.5,145.8740473,147.4858611,149.9632704,154.0910856,158.6605588,163.2129368,167.2960978,169.7334849,171.3139575
161.5,146.2268836,147.8281145,150.2902174,154.3950608,158.9426964,163.476957,167.5468664,169.9776618,171.5543778
162.5,146.5572714,148.148675,150.5965645,154.6800825,159.2074654,163.7249588,167.7826481,170.207392,171.780673
163.5,146.8659759,148.4483225,150.8831097,154.9469659,159.455679,163.9577297,168.0041861,170.4233822,171.9935219
164.5,147.1538752,148.7279342,151.1507267,155.1965718,159.688172,164.1760637,168.2122241,170.6263392,172.1936047
165.5,147.4219304,148.9884574,151.4003414,155.4297888,159.9057871,164.3807514,168.4074983,170.8169629,172.3815959
166.5,147.6711585,149.2308852,151.6329115,155.6475179,160.1093647,164.572572,168.5907313,170.9959407,172.5581591
167.5,147.902609,149.4562355,151.8494087,155.8506598,160.299733,164.7522868,168.7626268,171.1639423,172.7239426
168.5,148.1173446,149.6655332,152.0508033,156.0401024,160.4776996,164.920633,168.9238654,171.3216174,172.8795764
169.5,148.3164186,149.8597926,152.238053,156.2167175,160.6440526,165.0783248,169.0751026,171.469589,173.0256638
170.5,148.5008727,150.0400107,152.4120911,156.3813442,160.7995428,165.2260411,169.2169651,171.6084579,173.1627906
171.5,148.6717163,150.2071532,152.5738202,156.5347914,160.9448916,165.3644316,169.3500504,171.7387957,173.2915138
172.5,148.8299213,150.3621482,152.7241057,156.6778321,161.0807857,165.4941133,169.4749261,171.8611461,173.4123635
173.5,148.976416,150.5058813,152.8637721,156.8112003,161.2078755,165.6156697,169.5921291,171.9760242,173.5258431
174.5,149.1120814,150.6391923,152.9936001,156.9355896,161.3267744,165.7296508,169.7021662,172.0839168,173.6324287
175.5,149.2377485,150.7628729,153.1143251,157.0516529,161.4380593,165.8365737,169.8055142,172.1852824,173.7325694
176.5,149.3541954,150.877665,153.2266371,157.1600033,161.5422726,165.9369248,169.9026209,172.2805514,173.8266863
177.5,149.4621532,150.9842639,153.3311804,157.2612106,161.639917,166.0311556,169.9939056,172.3701297,173.9151788
178.5,149.5622993,151.0833153,153.4285552,157.3558081,161.7314645,166.1196904,170.0797608,172.4543957,173.9984185
179.5,149.6552628,151.1754186,153.5193185,157.4442908,161.8173534,166.202924,170.160553,172.5337038,174.0767538
180.5,149.7416255,151.2611287,153.6039864,157.5271178,161.8979913,166.281224,170.236624,172.6083849,174.1505102
181.5,149.8219242,151.3409575,153.6830356,157.6047139,161.9737558,166.3549321,170.3082921,172.6787478,174.2199918
182.5,149.8966533,151.415377,153.7569057,157.6774719,162.0449969,166.4243655,170.3758539,172.7450799,174.2854819
183.5,149.9662668,151.4848208,153.8260015,157.7457539,162.1120386,166.4898188,170.4395847,172.8076491,174.3472447
