Month,3rd,5th,10th,25th,50th,75th,90th,95th,98th
44.5,12.78746137,13.09118938,13.5858142,14.49391163,15.64343309,16.97372594,18.36225594,19.29789203,19.95406774
45.5,12.91233523,13.21963362,13.72043155,14.64105343,15.80872535,17.16336229,18.58127627,19.53907323,20.21194963
46.5,13.03792328,13.34895376,13.85617947,14.78976688,15.97610456,17.3556371,18.80348418,19.78381251,20.47365655
47.5,13.16419231,13.47910915,13.99300607,14.93998212,16.14548194,17.55044259,19.02875229,20.03196776,20.73903469
48.5,13.29110715,13.61005739,14.13085804,15.0916281,16.31676727,17.74766896,19.25695041,20.28339348,21.00792648
49.5,13.41863676,13.74175874,14.26968247,15.24463077,16.4898646,17.94720007,19.48794495,20.53794512,21.28017953
50.5,13.54675344,13.87417598,14.40942768,15.39891519,16.66467529,18.14891672,19.72160147,20.79548054,21.55564717
51.5,13.67543322,14.0072749,14.55004391,15.55440665,16.84109948,18.35269841,19.95778649,21.05586181,21.83419011
52.5,13.8046561,14.14102471,14.69148397,15.71103166,17.01903746,18.55842485,20.19636905,21.31895671,22.11567799
53.5,13.93440617,14.27539832,14.83370375,15.86871877,17.1983908,18.76597736,20.43722215,21.58464011,22.39999059
54.5,14.06467165,14.41037252,14.97666256,16.0273993,17.37906341,18.9752401,20.68022399,21.85279508,22.68701888
55.5,14.19544485,14.54592801,15.12032345,16.18700795,17.56096245,19.18610119,20.92525904,22.12331387,22.97666583
56.5,14.3267205,14.68204842,15.26465308,16.34748412,17.74400082,19.39845556,21.17221993,22.3960982,23.26884512
57.5,14.45850147,14.81872422,15.40962296,16.50876909,17.92809121,19.61219848,21.42100482,22.67106204,23.56348925
58.5,14.59079005,14.95594682,15.55520788,16.670811,18.11315625,19.82723683,21.67152294,22.94812899,23.86053886
59.5,14.7235931,15.09371211,15.70138696,16.83356209,18.29912286,20.04348292,21.92369204,23.22723469,24.15995003
60.5,14.85692044,15.23201937,15.8481433,16.99697963,18.48592413,20.26085668,22.17743954,23.50832656,24.46169255
