Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
104.5,120.8510473,122.2086239,124.3167709,127.8875724,131.9260439,136.0397444,139.8069003,142.0908498,143.5859753
105.5,121.2467001,122.6119145,124.7319249,128.3228265,132.3840348,136.5208952,140.3092555,142.6060571,144.109594
106.5,121.6372483,123.0103156,125.1424835,128.7538732,132.838092,136.9982129,140.8077133,143.1172562,144.6291028
107.5,122.0227817,123.4039024,125.5485022,129.1807426,133.2882291,137.4717069,141.3022916,143.6244753,145.1445387
108.5,122.4034171,123.7927752,125.9500588,129.6034839,133.7344759,137.9414029,141.793025,144.1277605,145.6559581
109.5,122.7792983,124.1770596,126.3472542,130.0221657,134.1768801,138.4073433,142.2799654,144.6271767,146.1634368
110.5,123.1505962,124.5569064,126.7402123,130.436877,134.6155076,138.8695881,142.7631838,145.1228083,146.6670713
111.5,123.5175084,124.9324922,127.1290805,130.8477278,135.0504433,139.3282163,143.2427702,145.6147602,147.1669794
112.5,123.8802592,125.3040185,127.5140299,131.2548494,135.4817925,139.7833266,143.7188356,146.103159,147.6633011
113.5,124.2390993,125.6717122,127.8952551,131.6583952,135.9096813,140.2350389,144.1915122,146.5881531,148.1561991
114.5,124.5943049,126.035825,128.2729746,132.0585409,136.3342577,140.6834944,144.6609548,147.0699143,148.6458598
115.5,124.9461775,126.3966334,128.6474311,132.4554857,136.7556923,141.1288576,145.1273417,147.5486382,149.132494
116.5,125.2950434,126.7544381,129.0188908,132.8494521,137.1741794,141.5713168,145.5908755,148.0245452,149.6163372
117.5,125.6412524,127.1095636,129.3876441,133.2406866,137.5899378,142.011085,146.0517839,148.4978811,150.0976507
118.5,125.9851773,127.4623576,129.7540048,133.6294604,138.0032114,142.4484014,146.510321,148.9689178,150.5767217
119.5,126.3272131,127.8131904,130.1183106,134.0160697,138.4142703,142.8835317,146.9667676,149.4379538,151.0538639
120.5,126.6677753,128.1624542,130.4809221,134.4008357,138.8234114,143.3167691,147.421432,149.9053151,151.5294179
121.5,127.0072991,128.5105623,130.8422234,134.7841054,139.2309592,143.7484354,147.8746507,150.3713549,152.0037511
122.5,127.3462381,128.857948,131.2026207,135.1662516,139.6372663,144.1788815,148.326789,150.8364543,152.4772579
123.5,127.6850624,129.2050634,131.5625423,135.5476732,140.042714,144.6084877,148.7782409,151.3010223,152.9503596
124.5,128.0242572,129.5523785,131.9224379,135.9287948,140.4477127,145.0376645,149.2294296,151.7654951,153.4235035
125.5,128.3643208,129.9003795,132.2827776,136.3100669,140.8527022,145.4668527,149.6808068,152.2303363,153.8971624
126.5,128.7057627,130.2495672,132.6440511,136.6919657,141.2581515,145.8965233,150.1328531,152.6960355,154.3718335
127.5,129.0491015,130.6004555,133.0067661,137.0749922,141.6645592,146.3271773,150.5860767,153.1631074,154.8480367
128.5,129.394862,130.9535693,133.3714475,137.4596717,142.072452,146.7593449,151.0410123,153.6320904,155.3263129
129.5,129.7435732,131.309442,133.738635,137.8465525,142.4823852,147.1935849,151.4982199,154.103544,155.8072211
130.5,130.095765,131.6686134,134.1088817,138.2362048,142.8949403,147.630483,151.9582822,154.5780465,156.2913356
131.5,130.4519655,132.031627,134.4827517,138.6292185,143.3107241,148.07065,152.4218027,155.0561919,156.7792423
132.5,130.8126976,132.3990267,134.8608171,139.0262015,143.7303663,148.5147188,152.8894016,155.5385858,157.2715342
133.5,131.1784756,132.771354,135.2436555,139.4277761,144.1545167,148.9633421,153.3617127,156.0258407,157.7688063
134.5,131.5498015,133.1491442,135.6318463,139.8345767,144.5838414,149.4171874,153.839378,156.5185711,158.27165
135.5,131.9271616,133.5329226,136.0259671,140.2472448,145.0190192,149.876933,154.3230425,157.0173867,158.7806462
136.5,132.311022,133.9232006,136.4265892,140.6664253,145.4607359,150.3432618,154.8133474,157.522886,159.2963578
137.5,132.7018251,134.3204714,136.8342729,141.0927603,145.9096784,150.8168546,155.3109233,158.0356481,159.8193221
138.5,133.0999854,134.7252055,137.2495627,141.5268837,146.3665278,151.2983826,155.8163811,158.5562242,160.3500415
